album_type,href,id,artist,type,uri,external_urls,name,release_date,release_date_precision,artist_id
album,https://api.spotify.com/v1/albums/3mH6qwIy9crq0I9YQbOuDf,3mH6qwIy9crq0I9YQbOuDf,Frank Ocean,album,spotify:album:3mH6qwIy9crq0I9YQbOuDf,https://open.spotify.com/album/3mH6qwIy9crq0I9YQbOuDf,Blonde,8/20/2016,day,2h93pZq0e7k5yf4dywlkpM
album,https://api.spotify.com/v1/albums/20r762YmB5HeofjMCiPMLv,20r762YmB5HeofjMCiPMLv,Kanye West,album,spotify:album:20r762YmB5HeofjMCiPMLv,https://open.spotify.com/album/20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,11/22/2010,day,5K4W6rqBFWDnAN6FQUkS6x
album,https://api.spotify.com/v1/albums/2UJwKSBUz6rtW4QLK74kQu,2UJwKSBUz6rtW4QLK74kQu,Beyoncé,album,spotify:album:2UJwKSBUz6rtW4QLK74kQu,https://open.spotify.com/album/2UJwKSBUz6rtW4QLK74kQu,BEYONCÉ [Platinum Edition],11/24/2014,day,6vWDO969PvNqNYHIOW5v0m
album,https://api.spotify.com/v1/albums/7ycBtnsMtyVbbwTfJwRjSP,7ycBtnsMtyVbbwTfJwRjSP,Kendrick Lamar,album,spotify:album:7ycBtnsMtyVbbwTfJwRjSP,https://open.spotify.com/album/7ycBtnsMtyVbbwTfJwRjSP,To Pimp A Butterfly,3/16/2015,day,2YZyLoL8N0Wb9xBt1NhZWg
album,https://api.spotify.com/v1/albums/6B5favhKTShFTjRLsKIUfa,6B5favhKTShFTjRLsKIUfa,Fiona Apple,album,spotify:album:6B5favhKTShFTjRLsKIUfa,https://open.spotify.com/album/6B5favhKTShFTjRLsKIUfa,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),6/18/2012,day,3g2kUQ6tHLLbmkV7T4GPtL
album,https://api.spotify.com/v1/albums/3Yko2SxDk4hc6fncIBQlcM,3Yko2SxDk4hc6fncIBQlcM,Solange,album,spotify:album:3Yko2SxDk4hc6fncIBQlcM,https://open.spotify.com/album/3Yko2SxDk4hc6fncIBQlcM,A Seat at the Table,9/30/2016,day,2auiVi8sUZo17dLy1HwrTU
album,https://api.spotify.com/v1/albums/2Qi2SySN2ePZwMLDSv9Krn,2Qi2SySN2ePZwMLDSv9Krn,Vampire Weekend,album,spotify:album:2Qi2SySN2ePZwMLDSv9Krn,https://open.spotify.com/album/2Qi2SySN2ePZwMLDSv9Krn,Modern Vampires of the City,5/27/2013,day,5BvJzeQpmsdsFp4HGUYUEx
album,https://api.spotify.com/v1/albums/0Rzg7fqyWE39G6wKipxrns,0Rzg7fqyWE39G6wKipxrns,Robyn,album,spotify:album:0Rzg7fqyWE39G6wKipxrns,https://open.spotify.com/album/0Rzg7fqyWE39G6wKipxrns,Body Talk,1/1/2010,day,6UE7nl9mha6s8z0wFQFIZ2
album,https://api.spotify.com/v1/albums/5Hfbag0SsHxafx1SySFSX6,5Hfbag0SsHxafx1SySFSX6,D'Angelo,album,spotify:album:5Hfbag0SsHxafx1SySFSX6,https://open.spotify.com/album/5Hfbag0SsHxafx1SySFSX6,Black Messiah,12/15/2014,day,336vr2M3Va0FjyvB55lJEd
album,https://api.spotify.com/v1/albums/392p3shh2jkxUxY2VHvlH8,392p3shh2jkxUxY2VHvlH8,Frank Ocean,album,spotify:album:392p3shh2jkxUxY2VHvlH8,https://open.spotify.com/album/392p3shh2jkxUxY2VHvlH8,channel ORANGE,7/10/2012,day,2h93pZq0e7k5yf4dywlkpM
