danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.543,0.394,8,-9.637,1,0.0864,0.695,2.39e-4,0.108,0.118,137.811,audio_features,19YKaevk2bce4odJkP5L22,spotify:track:19YKaevk2bce4odJkP5L22,https://api.spotify.com/v1/tracks/19YKaevk2bce4odJkP5L22,https://api.spotify.com/v1/audio-analysis/19YKaevk2bce4odJkP5L22,314075,4
0.567,0.388,9,-9.579,0,0.0384,0.782,3.09e-4,0.248,0.452,116.362,audio_features,2ZWlPOoWh0626oTaHrnl2a,spotify:track:2ZWlPOoWh0626oTaHrnl2a,https://api.spotify.com/v1/tracks/2ZWlPOoWh0626oTaHrnl2a,https://api.spotify.com/v1/audio-analysis/2ZWlPOoWh0626oTaHrnl2a,249191,4
0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-5,0.415,0.554,159.738,audio_features,3xKsf9qdS1CyvXSMEid6g8,spotify:track:3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,184516,3
0.657,0.431,7,-11.147,1,0.541,0.985,0,0.149,0.935,83.509,audio_features,1IdZvb2XK8NmsovQlV6CPn,spotify:track:1IdZvb2XK8NmsovQlV6CPn,https://api.spotify.com/v1/tracks/1IdZvb2XK8NmsovQlV6CPn,https://api.spotify.com/v1/audio-analysis/1IdZvb2XK8NmsovQlV6CPn,86944,3
0.444,0.287,5,-10.631,0,0.0375,0.849,2.82e-6,0.161,0.246,124.027,audio_features,35xSkNIXi504fcEwz9USRB,spotify:track:35xSkNIXi504fcEwz9USRB,https://api.spotify.com/v1/tracks/35xSkNIXi504fcEwz9USRB,https://api.spotify.com/v1/audio-analysis/35xSkNIXi504fcEwz9USRB,257380,4
0.423,0.294,5,-13.673,0,0.0593,0.882,5.43e-6,0.0981,0.401,129.146,audio_features,4xR3MAscflQ262kMeiKshQ,spotify:track:4xR3MAscflQ262kMeiKshQ,https://api.spotify.com/v1/tracks/4xR3MAscflQ262kMeiKshQ,https://api.spotify.com/v1/audio-analysis/4xR3MAscflQ262kMeiKshQ,184600,4
0.572,0.209,8,-10.413,1,0.0313,0.765,0,0.356,0.446,80.069,audio_features,5GUYJTQap5F3RDQiCOJhrS,spotify:track:5GUYJTQap5F3RDQiCOJhrS,https://api.spotify.com/v1/tracks/5GUYJTQap5F3RDQiCOJhrS,https://api.spotify.com/v1/audio-analysis/5GUYJTQap5F3RDQiCOJhrS,249668,4
0.513,0.131,0,-12.787,1,0.467,0.983,0.00414,0.12,0.814,105.808,audio_features,2JUqYobT8NvARdPmc4ES2x,spotify:track:2JUqYobT8NvARdPmc4ES2x,https://api.spotify.com/v1/tracks/2JUqYobT8NvARdPmc4ES2x,https://api.spotify.com/v1/audio-analysis/2JUqYobT8NvARdPmc4ES2x,66786,5
0.466,0.548,5,-9.362,0,0.118,0.42,1.01e-6,0.113,0.423,89.815,audio_features,7eqoqGkKwgOaWNNHx90uEZ,spotify:track:7eqoqGkKwgOaWNNHx90uEZ,https://api.spotify.com/v1/tracks/7eqoqGkKwgOaWNNHx90uEZ,https://api.spotify.com/v1/audio-analysis/7eqoqGkKwgOaWNNHx90uEZ,307151,4
0.541,0.747,7,-6.811,0,0.162,0.404,0,0.086,0.604,83.286,audio_features,2qtoRFCOEL1gRn5q9DJC7F,spotify:track:2qtoRFCOEL1gRn5q9DJC7F,https://api.spotify.com/v1/tracks/2qtoRFCOEL1gRn5q9DJC7F,https://api.spotify.com/v1/audio-analysis/2qtoRFCOEL1gRn5q9DJC7F,78743,4
